[2022/02/09 00:51:18] - Namespace(alpha=10, batch_size=128, data_dir='../../cifar-data', delta_init='previous', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/prev_init', seed=0, weight_decay=0.0005)
[2022/02/09 00:51:20] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 00:51:51] - 0 	 31.7 	 	 0.0133 	 2.1601 	 0.1792
[2022/02/09 00:52:20] - 1 	 28.7 	 	 0.0267 	 1.8880 	 0.2827
[2022/02/09 00:52:49] - 2 	 28.8 	 	 0.0400 	 1.7924 	 0.3225
[2022/02/09 00:53:18] - 3 	 28.9 	 	 0.0533 	 1.6979 	 0.3553
[2022/02/09 00:53:46] - 4 	 28.1 	 	 0.0667 	 1.6194 	 0.3832
[2022/02/09 00:54:11] - 5 	 25.1 	 	 0.0800 	 1.5478 	 0.4133
[2022/02/09 00:54:37] - 6 	 25.9 	 	 0.0933 	 1.4971 	 0.4298
[2022/02/09 00:55:01] - 7 	 24.6 	 	 0.1067 	 1.4533 	 0.4481
[2022/02/09 00:55:27] - 8 	 25.4 	 	 0.1200 	 1.4220 	 0.4609
[2022/02/09 00:55:51] - 9 	 23.7 	 	 0.1333 	 1.3910 	 0.4701
[2022/02/09 00:56:15] - 10 	 24.1 	 	 0.1467 	 1.3683 	 0.4793
[2022/02/09 00:56:40] - 11 	 24.9 	 	 0.1600 	 1.3487 	 0.4847
[2022/02/09 00:57:06] - 12 	 26.7 	 	 0.1733 	 1.3348 	 0.4913
[2022/02/09 00:57:31] - 13 	 24.8 	 	 0.1867 	 1.3243 	 0.4923
[2022/02/09 00:57:57] - 14 	 26.1 	 	 0.2000 	 1.3185 	 0.4942
[2022/02/09 00:58:21] - 15 	 23.9 	 	 0.1867 	 1.3083 	 0.5022
[2022/02/09 00:58:48] - 16 	 26.6 	 	 0.1733 	 1.2895 	 0.5083
[2022/02/09 00:59:14] - 17 	 26.6 	 	 0.1600 	 1.2727 	 0.5141
[2022/02/09 00:59:41] - 18 	 26.5 	 	 0.1467 	 1.2557 	 0.5204
[2022/02/09 01:00:08] - 19 	 26.9 	 	 0.1333 	 1.2360 	 0.5279
[2022/02/09 01:00:32] - 20 	 24.8 	 	 0.1200 	 1.2155 	 0.5340
[2022/02/09 01:00:58] - 21 	 25.9 	 	 0.1067 	 1.1951 	 0.5404
[2022/02/09 01:01:24] - 22 	 25.6 	 	 0.0933 	 1.1717 	 0.5491
[2022/02/09 01:01:49] - 23 	 24.9 	 	 0.0800 	 1.1465 	 0.5578
[2022/02/09 01:02:14] - 24 	 25.2 	 	 0.0667 	 1.1134 	 0.5676
[2022/02/09 01:02:40] - 25 	 26.0 	 	 0.0533 	 1.0833 	 0.5809
[2022/02/09 01:03:05] - 26 	 25.1 	 	 0.0400 	 1.0360 	 0.5957
[2022/02/09 01:03:30] - 27 	 24.6 	 	 0.0267 	 0.9792 	 0.6157
[2022/02/09 01:03:54] - 28 	 24.5 	 	 0.0133 	 0.9051 	 0.6429
[2022/02/09 01:04:19] - 29 	 24.5 	 	 0.0000 	 0.8060 	 0.6825
[2022/02/09 01:04:19] - Total train time: 12.9849 minutes
[2022/02/09 01:34:03] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 01:34:03] - 0.4825 	 	 0.8503 	 0.9264 	 0.4421
