[2022/02/09 03:20:22] - Namespace(alpha=10, batch_size=128, data_dir='../../cifar-data', delta_init='random', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/random_init_alpha10', seed=0, test_interval=10, weight_decay=0.0005)
[2022/02/09 03:20:24] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 03:21:08] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 03:21:08] - 0 	 1.7382 	 	 0.3483 	 1.8067 	 0.2503
[2022/02/09 03:21:08] - 0 	 44.0 	 	 0.0133 	 2.1971 	 0.1666
[2022/02/09 03:21:33] - 1 	 25.3 	 	 0.0267 	 1.9385 	 0.2647
[2022/02/09 03:21:59] - 2 	 25.7 	 	 0.0400 	 1.8469 	 0.2979
[2022/02/09 03:22:28] - 3 	 29.1 	 	 0.0533 	 1.7674 	 0.3271
[2022/02/09 03:22:58] - 4 	 29.7 	 	 0.0667 	 1.6891 	 0.3596
[2022/02/09 03:23:26] - 5 	 27.9 	 	 0.0800 	 1.6267 	 0.3773
[2022/02/09 03:23:56] - 6 	 29.9 	 	 0.0933 	 1.5707 	 0.4009
[2022/02/09 03:24:25] - 7 	 29.2 	 	 0.1067 	 1.5307 	 0.4180
[2022/02/09 03:24:55] - 8 	 29.6 	 	 0.1200 	 1.4931 	 0.4321
[2022/02/09 03:25:24] - 9 	 29.2 	 	 0.1333 	 1.4650 	 0.4414
[2022/02/09 03:26:07] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 03:26:07] - 10 	 0.9837 	 	 0.6848 	 1.2089 	 0.4344
[2022/02/09 03:26:07] - 10 	 43.6 	 	 0.1467 	 1.4407 	 0.4485
[2022/02/09 03:26:35] - 11 	 28.2 	 	 0.1600 	 1.4215 	 0.4546
[2022/02/09 03:27:05] - 12 	 29.6 	 	 0.1733 	 1.4061 	 0.4612
[2022/02/09 03:27:35] - 13 	 29.4 	 	 0.1867 	 1.4004 	 0.4656
[2022/02/09 03:28:04] - 14 	 29.5 	 	 0.2000 	 1.3927 	 0.4692
[2022/02/09 03:28:34] - 15 	 29.8 	 	 0.1867 	 1.3779 	 0.4716
[2022/02/09 03:29:04] - 16 	 29.8 	 	 0.1733 	 1.3646 	 0.4735
[2022/02/09 03:29:33] - 17 	 29.1 	 	 0.1600 	 1.3465 	 0.4820
[2022/02/09 03:30:00] - 18 	 27.4 	 	 0.1467 	 1.3285 	 0.4888
[2022/02/09 03:30:26] - 19 	 25.6 	 	 0.1333 	 1.3078 	 0.4964
[2022/02/09 03:31:05] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 03:31:05] - 20 	 0.8567 	 	 0.7135 	 1.1138 	 0.4509
[2022/02/09 03:31:05] - 20 	 39.0 	 	 0.1200 	 1.2898 	 0.5021
[2022/02/09 03:31:30] - 21 	 25.2 	 	 0.1067 	 1.2668 	 0.5108
[2022/02/09 03:31:59] - 22 	 29.0 	 	 0.0933 	 1.2479 	 0.5190
[2022/02/09 03:32:27] - 23 	 27.9 	 	 0.0800 	 1.2209 	 0.5265
[2022/02/09 03:32:54] - 24 	 27.0 	 	 0.0667 	 1.1902 	 0.5391
[2022/02/09 03:33:18] - 25 	 24.3 	 	 0.0533 	 1.1588 	 0.5509
[2022/02/09 03:33:46] - 26 	 27.6 	 	 0.0400 	 1.1125 	 0.5662
[2022/02/09 03:34:13] - 27 	 27.7 	 	 0.0267 	 1.0571 	 0.5834
[2022/02/09 03:34:43] - 28 	 29.4 	 	 0.0133 	 0.9850 	 0.6104
[2022/02/09 03:35:11] - 29 	 28.4 	 	 0.0000 	 0.8855 	 0.6474
[2022/02/09 03:35:11] - Total train time: 14.7860 minutes
[2022/02/09 04:04:53] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 04:04:53] - 0.5350 	 	 0.8371 	 0.9362 	 0.4581
