[2022/02/09 04:05:01] - Namespace(alpha=16.0, batch_size=128, data_dir='../../cifar-data', delta_init='random', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/random_init_alpha16', seed=0, test_interval=10, weight_decay=0.0005)
[2022/02/09 04:05:03] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 04:05:43] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 04:05:43] - 0 	 1.7713 	 	 0.3372 	 1.8327 	 0.2497
[2022/02/09 04:05:43] - 0 	 40.1 	 	 0.0133 	 2.2263 	 0.1556
[2022/02/09 04:06:11] - 1 	 28.1 	 	 0.0267 	 1.9871 	 0.2474
[2022/02/09 04:06:40] - 2 	 28.4 	 	 0.0400 	 1.9075 	 0.2750
[2022/02/09 04:07:08] - 3 	 28.2 	 	 0.0533 	 1.8383 	 0.3005
[2022/02/09 04:07:36] - 4 	 28.3 	 	 0.0667 	 1.7674 	 0.3307
[2022/02/09 04:08:02] - 5 	 25.8 	 	 0.0800 	 1.7103 	 0.3472
[2022/02/09 04:08:31] - 6 	 29.2 	 	 0.0933 	 1.6558 	 0.3673
[2022/02/09 04:09:00] - 7 	 28.7 	 	 0.1067 	 1.6163 	 0.3842
[2022/02/09 04:09:27] - 8 	 26.9 	 	 0.1200 	 1.5788 	 0.3977
[2022/02/09 04:09:55] - 9 	 28.1 	 	 0.1333 	 1.5501 	 0.4065
[2022/02/09 04:10:38] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 04:10:38] - 10 	 1.0569 	 	 0.6621 	 1.2564 	 0.4384
[2022/02/09 04:10:38] - 10 	 43.3 	 	 0.1467 	 1.5247 	 0.4162
[2022/02/09 04:11:07] - 11 	 29.2 	 	 0.1600 	 1.5049 	 0.4223
[2022/02/09 04:11:36] - 12 	 28.7 	 	 0.1733 	 1.4881 	 0.4283
[2022/02/09 04:12:03] - 13 	 27.5 	 	 0.1867 	 1.4815 	 0.4335
[2022/02/09 04:12:32] - 14 	 28.6 	 	 0.2000 	 1.4731 	 0.4350
[2022/02/09 04:13:00] - 15 	 28.1 	 	 0.1867 	 1.4572 	 0.4412
[2022/02/09 04:13:28] - 16 	 27.5 	 	 0.1733 	 1.4458 	 0.4438
[2022/02/09 04:13:56] - 17 	 28.1 	 	 0.1600 	 1.4253 	 0.4525
[2022/02/09 04:14:24] - 18 	 28.5 	 	 0.1467 	 1.4083 	 0.4558
[2022/02/09 04:14:53] - 19 	 28.6 	 	 0.1333 	 1.3575 	 0.4761
[2022/02/09 04:15:36] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 04:15:36] - 20 	 1.4050 	 	 0.6078 	 4.4696 	 0.0770
[2022/02/09 04:15:36] - 20 	 43.4 	 	 0.1200 	 0.5797 	 0.8031
[2022/02/09 04:16:05] - 21 	 28.4 	 	 0.1067 	 0.3218 	 0.8953
[2022/02/09 04:16:33] - 22 	 27.9 	 	 0.0933 	 0.2920 	 0.9061
[2022/02/09 04:16:58] - 23 	 25.3 	 	 0.0800 	 0.2588 	 0.9170
[2022/02/09 04:17:26] - 24 	 27.8 	 	 0.0667 	 0.2295 	 0.9254
[2022/02/09 04:17:54] - 25 	 28.1 	 	 0.0533 	 0.1983 	 0.9359
[2022/02/09 04:18:22] - 26 	 28.6 	 	 0.0400 	 0.1724 	 0.9460
[2022/02/09 04:18:49] - 27 	 27.1 	 	 0.0267 	 0.1511 	 0.9503
[2022/02/09 04:19:17] - 28 	 28.0 	 	 0.0133 	 0.1139 	 0.9636
[2022/02/09 04:19:46] - 29 	 28.6 	 	 0.0000 	 0.0774 	 0.9754
[2022/02/09 04:19:46] - Total train time: 14.7187 minutes
[2022/02/09 04:22:01] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 04:22:01] - 0.4645 	 	 0.8645 	 9.2483 	 0.0000
