[2022/02/09 00:34:08] - Namespace(alpha=10, batch_size=128, data_dir='../../cifar-data', delta_init='zero', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/zero_init', seed=0, weight_decay=0.0005)
[2022/02/09 00:34:10] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 00:34:38] - 0 	 28.2 	 	 0.0133 	 2.2361 	 0.1536
[2022/02/09 00:35:03] - 1 	 25.4 	 	 0.0267 	 1.9859 	 0.2468
[2022/02/09 00:35:30] - 2 	 26.6 	 	 0.0400 	 1.9097 	 0.2761
[2022/02/09 00:35:57] - 3 	 26.7 	 	 0.0533 	 1.8410 	 0.2985
[2022/02/09 00:36:25] - 4 	 28.5 	 	 0.0667 	 1.7760 	 0.3231
[2022/02/09 00:36:54] - 5 	 29.3 	 	 0.0800 	 1.7133 	 0.3487
[2022/02/09 00:37:24] - 6 	 29.5 	 	 0.0933 	 1.6663 	 0.3624
[2022/02/09 00:37:53] - 7 	 29.2 	 	 0.1067 	 1.6217 	 0.3810
[2022/02/09 00:38:20] - 8 	 26.9 	 	 0.1200 	 1.5905 	 0.3938
[2022/02/09 00:38:45] - 9 	 25.2 	 	 0.1333 	 1.5586 	 0.4044
[2022/02/09 00:39:12] - 10 	 26.3 	 	 0.1467 	 1.5345 	 0.4119
[2022/02/09 00:39:39] - 11 	 27.0 	 	 0.1600 	 1.5114 	 0.4187
[2022/02/09 00:40:06] - 12 	 27.3 	 	 0.1733 	 1.4964 	 0.4273
[2022/02/09 00:40:32] - 13 	 26.1 	 	 0.1867 	 1.4818 	 0.4302
[2022/02/09 00:40:58] - 14 	 26.3 	 	 0.2000 	 1.4720 	 0.4346
[2022/02/09 00:41:25] - 15 	 26.9 	 	 0.1867 	 1.4247 	 0.4571
[2022/02/09 00:41:51] - 16 	 25.4 	 	 0.1733 	 1.3238 	 0.5007
[2022/02/09 00:42:18] - 17 	 27.7 	 	 0.1600 	 1.0225 	 0.6259
[2022/02/09 00:42:46] - 18 	 27.5 	 	 0.1467 	 0.4605 	 0.8488
[2022/02/09 00:43:14] - 19 	 28.4 	 	 0.1333 	 0.3900 	 0.8733
[2022/02/09 00:43:42] - 20 	 27.9 	 	 0.1200 	 0.2928 	 0.9057
[2022/02/09 00:44:09] - 21 	 27.4 	 	 0.1067 	 0.3887 	 0.8729
[2022/02/09 00:44:37] - 22 	 27.1 	 	 0.0933 	 0.3616 	 0.8817
[2022/02/09 00:45:04] - 23 	 27.2 	 	 0.0800 	 0.2437 	 0.9230
[2022/02/09 00:45:31] - 24 	 27.2 	 	 0.0667 	 0.2017 	 0.9354
[2022/02/09 00:45:58] - 25 	 27.3 	 	 0.0533 	 0.2015 	 0.9353
[2022/02/09 00:46:25] - 26 	 26.7 	 	 0.0400 	 0.1777 	 0.9436
[2022/02/09 00:46:52] - 27 	 27.0 	 	 0.0267 	 0.1301 	 0.9582
[2022/02/09 00:47:20] - 28 	 27.5 	 	 0.0133 	 0.1061 	 0.9660
[2022/02/09 00:47:48] - 29 	 28.9 	 	 0.0000 	 0.0803 	 0.9745
[2022/02/09 00:47:49] - Total train time: 13.6459 minutes
[2022/02/09 00:50:30] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 00:50:30] - 0.4911 	 	 0.8599 	 8.7648 	 0.0000
