[2022/02/09 05:02:03] - Namespace(alpha=8.0, batch_size=128, data_dir='../../cifar-data', delta_init='zero', early_stop=False, epochs=30, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='FGSM_DB/zero_init_plot', seed=0, test_interval=1, weight_decay=0.0005)
[2022/02/09 05:02:04] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/09 05:02:50] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:02:50] - 0 	 1.7777 	 	 0.3358 	 1.8377 	 0.2490
[2022/02/09 05:02:50] - 0 	 46.0 	 	 0.0133 	 2.2361 	 0.1536
[2022/02/09 05:03:34] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:03:34] - 1 	 1.6132 	 	 0.4210 	 1.6875 	 0.2958
[2022/02/09 05:03:34] - 1 	 44.0 	 	 0.0267 	 1.9905 	 0.2461
[2022/02/09 05:04:17] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:04:17] - 2 	 1.5459 	 	 0.4478 	 1.6372 	 0.2865
[2022/02/09 05:04:17] - 2 	 42.9 	 	 0.0400 	 1.9118 	 0.2747
[2022/02/09 05:04:58] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:04:58] - 3 	 1.4139 	 	 0.4681 	 1.5206 	 0.3213
[2022/02/09 05:04:58] - 3 	 40.3 	 	 0.0533 	 1.8478 	 0.2999
[2022/02/09 05:05:41] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:05:41] - 4 	 1.3726 	 	 0.5128 	 1.5003 	 0.3385
[2022/02/09 05:05:41] - 4 	 43.1 	 	 0.0667 	 1.7809 	 0.3226
[2022/02/09 05:06:22] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:06:22] - 5 	 1.2303 	 	 0.5473 	 1.3749 	 0.3747
[2022/02/09 05:06:22] - 5 	 41.2 	 	 0.0800 	 1.7159 	 0.3457
[2022/02/09 05:07:05] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:07:05] - 6 	 1.2079 	 	 0.5706 	 1.3613 	 0.3716
[2022/02/09 05:07:05] - 6 	 42.8 	 	 0.0933 	 1.6636 	 0.3646
[2022/02/09 05:07:48] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:07:48] - 7 	 1.1284 	 	 0.5954 	 1.2974 	 0.4127
[2022/02/09 05:07:48] - 7 	 43.2 	 	 0.1067 	 1.6186 	 0.3798
[2022/02/09 05:08:31] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/09 05:08:31] - 8 	 1.1153 	 	 0.6235 	 1.3000 	 0.4018
[2022/02/09 05:08:31] - 8 	 43.0 	 	 0.1200 	 1.5857 	 0.3940
[2022/02/09 05:09:15] - Epoch 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
