[2022/02/08 16:09:35] - Namespace(alpha=2, attack_iters=7, batch_size=128, data_dir='../../cifar-data', delta_init='random', epochs=40, epsilon=8, eval=False, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='pgd8_epochs40', restarts=1, seed=0, weight_decay=0.0005)
[2022/02/08 16:09:36] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2022/02/08 16:11:20] - 0 	 103.4 	 	 0.0100 	 2.2951 	 0.1447
[2022/02/08 16:12:59] - 1 	 99.4 	 	 0.0200 	 2.0093 	 0.2408
[2022/02/08 16:14:37] - 2 	 97.5 	 	 0.0300 	 1.9320 	 0.2703
[2022/02/08 16:16:14] - 3 	 97.5 	 	 0.0400 	 1.8680 	 0.2917
[2022/02/08 16:17:53] - 4 	 98.6 	 	 0.0500 	 1.8099 	 0.3134
[2022/02/08 16:19:31] - 5 	 98.8 	 	 0.0600 	 1.7513 	 0.3384
[2022/02/08 16:21:15] - 6 	 103.3 	 	 0.0700 	 1.7059 	 0.3535
[2022/02/08 16:22:54] - 7 	 99.6 	 	 0.0800 	 1.6619 	 0.3704
[2022/02/08 16:24:38] - 8 	 103.9 	 	 0.0900 	 1.6297 	 0.3819
[2022/02/08 16:26:18] - 9 	 99.5 	 	 0.1000 	 1.5966 	 0.3952
[2022/02/08 16:27:58] - 10 	 99.7 	 	 0.1100 	 1.5727 	 0.4037
[2022/02/08 16:29:37] - 11 	 99.8 	 	 0.1200 	 1.5511 	 0.4104
[2022/02/08 16:31:16] - 12 	 99.0 	 	 0.1300 	 1.5353 	 0.4174
[2022/02/08 16:32:57] - 13 	 100.2 	 	 0.1400 	 1.5202 	 0.4192
[2022/02/08 16:34:37] - 14 	 100.8 	 	 0.1500 	 1.5075 	 0.4247
[2022/02/08 16:36:17] - 15 	 99.5 	 	 0.1600 	 1.5022 	 0.4312
[2022/02/08 16:37:56] - 16 	 99.1 	 	 0.1700 	 1.4975 	 0.4321
[2022/02/08 16:39:36] - 17 	 99.6 	 	 0.1800 	 1.4889 	 0.4364
[2022/02/08 16:41:17] - 18 	 101.1 	 	 0.1900 	 1.4889 	 0.4341
[2022/02/08 16:42:56] - 19 	 99.6 	 	 0.2000 	 1.4851 	 0.4368
[2022/02/08 16:44:36] - 20 	 99.8 	 	 0.1900 	 1.4777 	 0.4384
[2022/02/08 16:46:13] - 21 	 97.0 	 	 0.1800 	 1.4628 	 0.4433
[2022/02/08 16:47:55] - 22 	 101.8 	 	 0.1700 	 1.4491 	 0.4489
[2022/02/08 16:49:37] - 23 	 102.6 	 	 0.1600 	 1.4384 	 0.4513
[2022/02/08 16:51:18] - 24 	 100.5 	 	 0.1500 	 1.4236 	 0.4575
[2022/02/08 16:52:59] - 25 	 100.8 	 	 0.1400 	 1.4130 	 0.4608
[2022/02/08 16:54:39] - 26 	 100.6 	 	 0.1300 	 1.4023 	 0.4654
[2022/02/08 16:56:20] - 27 	 100.6 	 	 0.1200 	 1.3881 	 0.4712
[2022/02/08 16:58:02] - 28 	 101.8 	 	 0.1100 	 1.3755 	 0.4752
[2022/02/08 16:59:42] - 29 	 100.2 	 	 0.1000 	 1.3558 	 0.4814
[2022/02/08 17:01:22] - 30 	 100.3 	 	 0.0900 	 1.3423 	 0.4868
[2022/02/08 17:03:00] - 31 	 98.3 	 	 0.0800 	 1.3298 	 0.4912
[2022/02/08 17:04:41] - 32 	 100.5 	 	 0.0700 	 1.3045 	 0.4974
[2022/02/08 17:06:20] - 33 	 99.2 	 	 0.0600 	 1.2845 	 0.5062
[2022/02/08 17:08:01] - 34 	 100.9 	 	 0.0500 	 1.2577 	 0.5130
[2022/02/08 17:09:40] - 35 	 99.5 	 	 0.0400 	 1.2250 	 0.5253
[2022/02/08 17:11:21] - 36 	 100.4 	 	 0.0300 	 1.1862 	 0.5388
[2022/02/08 17:13:00] - 37 	 99.4 	 	 0.0200 	 1.1335 	 0.5558
[2022/02/08 17:14:39] - 38 	 99.0 	 	 0.0100 	 1.0714 	 0.5778
[2022/02/08 17:16:20] - 39 	 100.6 	 	 0.0000 	 0.9884 	 0.6070
[2022/02/08 17:16:20] - Total train time: 66.7278 minutes
[2022/02/08 17:45:51] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/02/08 17:45:51] - 0.5732 	 	 0.8330 	 0.9246 	 0.5008
